job,city,month,job_postings_count
Backend Developer,Hà Nội,2023-01,35
Backend Developer,Hà Nội,2023-02,25
Backend Developer,Hà Nội,2023-03,26
Backend Developer,Hà Nội,2023-04,20
Backend Developer,Hà Nội,2023-05,19
Backend Developer,Hà Nội,2023-06,19
Backend Developer,Hà Nội,2023-07,22
Backend Developer,Hà Nội,2023-08,26
Backend Developer,Hà Nội,2023-09,27
Backend Developer,Hà Nội,2023-10,28
Backend Developer,Hà Nội,2023-11,25
Backend Developer,Hà Nội,2023-12,18
Backend Developer,Hà Nội,2024-01,17
Backend Developer,Hà Nội,2024-02,14
Backend Developer,Hà Nội,2024-03,33
Backend Developer,Hà Nội,2024-04,20
Backend Developer,Hà Nội,2024-05,37
Backend Developer,Hồ Chí Minh,2023-01,29
Backend Developer,Hồ Chí Minh,2023-02,16
Backend Developer,Hồ Chí Minh,2023-03,25
Backend Developer,Hồ Chí Minh,2023-04,14
Backend Developer,Hồ Chí Minh,2023-05,17
Backend Developer,Hồ Chí Minh,2023-06,23
Backend Developer,Hồ Chí Minh,2023-07,27
Backend Developer,Hồ Chí Minh,2023-08,22
Backend Developer,Hồ Chí Minh,2023-09,22
Backend Developer,Hồ Chí Minh,2023-10,23
Backend Developer,Hồ Chí Minh,2023-11,33
Backend Developer,Hồ Chí Minh,2023-12,29
Backend Developer,Hồ Chí Minh,2024-01,23
Backend Developer,Hồ Chí Minh,2024-02,25
Backend Developer,Hồ Chí Minh,2024-03,20
Backend Developer,Hồ Chí Minh,2024-04,31
Backend Developer,Hồ Chí Minh,2024-05,22
Backend Developer,Đà Nẵng,2023-01,26
Backend Developer,Đà Nẵng,2023-02,22
Backend Developer,Đà Nẵng,2023-03,21
Backend Developer,Đà Nẵng,2023-04,29
Backend Developer,Đà Nẵng,2023-05,25
Backend Developer,Đà Nẵng,2023-06,23
Backend Developer,Đà Nẵng,2023-07,26
Backend Developer,Đà Nẵng,2023-08,24
Backend Developer,Đà Nẵng,2023-09,30
Backend Developer,Đà Nẵng,2023-10,30
Backend Developer,Đà Nẵng,2023-11,29
Backend Developer,Đà Nẵng,2023-12,25
Backend Developer,Đà Nẵng,2024-01,27
Backend Developer,Đà Nẵng,2024-02,26
Backend Developer,Đà Nẵng,2024-03,30
Backend Developer,Đà Nẵng,2024-04,27
Backend Developer,Đà Nẵng,2024-05,23
Data Scientist,Hà Nội,2023-01,24
Data Scientist,Hà Nội,2023-02,31
Data Scientist,Hà Nội,2023-03,19
Data Scientist,Hà Nội,2023-04,21
Data Scientist,Hà Nội,2023-05,31
Data Scientist,Hà Nội,2023-06,22
Data Scientist,Hà Nội,2023-07,21
Data Scientist,Hà Nội,2023-08,26
Data Scientist,Hà Nội,2023-09,23
Data Scientist,Hà Nội,2023-10,25
Data Scientist,Hà Nội,2023-11,13
Data Scientist,Hà Nội,2023-12,21
Data Scientist,Hà Nội,2024-01,26
Data Scientist,Hà Nội,2024-02,35
Data Scientist,Hà Nội,2024-03,23
Data Scientist,Hà Nội,2024-04,29
Data Scientist,Hà Nội,2024-05,25
Data Scientist,Hồ Chí Minh,2023-01,32
Data Scientist,Hồ Chí Minh,2023-02,24
Data Scientist,Hồ Chí Minh,2023-03,24
Data Scientist,Hồ Chí Minh,2023-04,35
Data Scientist,Hồ Chí Minh,2023-05,21
Data Scientist,Hồ Chí Minh,2023-06,25
Data Scientist,Hồ Chí Minh,2023-07,28
Data Scientist,Hồ Chí Minh,2023-08,30
Data Scientist,Hồ Chí Minh,2023-09,25
Data Scientist,Hồ Chí Minh,2023-10,24
Data Scientist,Hồ Chí Minh,2023-11,25
Data Scientist,Hồ Chí Minh,2023-12,17
Data Scientist,Hồ Chí Minh,2024-01,20
Data Scientist,Hồ Chí Minh,2024-02,24
Data Scientist,Hồ Chí Minh,2024-03,29
Data Scientist,Hồ Chí Minh,2024-04,25
Data Scientist,Hồ Chí Minh,2024-05,27
Data Scientist,Đà Nẵng,2023-01,18
Data Scientist,Đà Nẵng,2023-02,16
Data Scientist,Đà Nẵng,2023-03,20
Data Scientist,Đà Nẵng,2023-04,23
Data Scientist,Đà Nẵng,2023-05,26
Data Scientist,Đà Nẵng,2023-06,23
Data Scientist,Đà Nẵng,2023-07,25
Data Scientist,Đà Nẵng,2023-08,30
Data Scientist,Đà Nẵng,2023-09,20
Data Scientist,Đà Nẵng,2023-10,24
Data Scientist,Đà Nẵng,2023-11,9
Data Scientist,Đà Nẵng,2023-12,33
Data Scientist,Đà Nẵng,2024-01,16
Data Scientist,Đà Nẵng,2024-02,30
Data Scientist,Đà Nẵng,2024-03,22
Data Scientist,Đà Nẵng,2024-04,20
Data Scientist,Đà Nẵng,2024-05,30
DevOps Engineer,Hà Nội,2023-01,32
DevOps Engineer,Hà Nội,2023-02,20
DevOps Engineer,Hà Nội,2023-03,21
DevOps Engineer,Hà Nội,2023-04,33
DevOps Engineer,Hà Nội,2023-05,32
DevOps Engineer,Hà Nội,2023-06,37
DevOps Engineer,Hà Nội,2023-07,24
DevOps Engineer,Hà Nội,2023-08,21
DevOps Engineer,Hà Nội,2023-09,23
DevOps Engineer,Hà Nội,2023-10,28
DevOps Engineer,Hà Nội,2023-11,30
DevOps Engineer,Hà Nội,2023-12,20
DevOps Engineer,Hà Nội,2024-01,15
DevOps Engineer,Hà Nội,2024-02,23
DevOps Engineer,Hà Nội,2024-03,24
DevOps Engineer,Hà Nội,2024-04,22
DevOps Engineer,Hà Nội,2024-05,19
DevOps Engineer,Hồ Chí Minh,2023-01,23
DevOps Engineer,Hồ Chí Minh,2023-02,24
DevOps Engineer,Hồ Chí Minh,2023-03,24
DevOps Engineer,Hồ Chí Minh,2023-04,19
DevOps Engineer,Hồ Chí Minh,2023-05,22
DevOps Engineer,Hồ Chí Minh,2023-06,22
DevOps Engineer,Hồ Chí Minh,2023-07,24
DevOps Engineer,Hồ Chí Minh,2023-08,26
DevOps Engineer,Hồ Chí Minh,2023-09,24
DevOps Engineer,Hồ Chí Minh,2023-10,24
DevOps Engineer,Hồ Chí Minh,2023-11,22
DevOps Engineer,Hồ Chí Minh,2023-12,30
DevOps Engineer,Hồ Chí Minh,2024-01,29
DevOps Engineer,Hồ Chí Minh,2024-02,22
DevOps Engineer,Hồ Chí Minh,2024-03,33
DevOps Engineer,Hồ Chí Minh,2024-04,22
DevOps Engineer,Hồ Chí Minh,2024-05,13
DevOps Engineer,Đà Nẵng,2023-01,31
DevOps Engineer,Đà Nẵng,2023-02,30
DevOps Engineer,Đà Nẵng,2023-03,21
DevOps Engineer,Đà Nẵng,2023-04,30
DevOps Engineer,Đà Nẵng,2023-05,19
DevOps Engineer,Đà Nẵng,2023-06,27
DevOps Engineer,Đà Nẵng,2023-07,26
DevOps Engineer,Đà Nẵng,2023-08,32
DevOps Engineer,Đà Nẵng,2023-09,23
DevOps Engineer,Đà Nẵng,2023-10,27
DevOps Engineer,Đà Nẵng,2023-11,24
DevOps Engineer,Đà Nẵng,2023-12,30
DevOps Engineer,Đà Nẵng,2024-01,36
DevOps Engineer,Đà Nẵng,2024-02,22
DevOps Engineer,Đà Nẵng,2024-03,23
DevOps Engineer,Đà Nẵng,2024-04,20
DevOps Engineer,Đà Nẵng,2024-05,21
Frontend Developer,Hà Nội,2023-01,20
Frontend Developer,Hà Nội,2023-02,22
Frontend Developer,Hà Nội,2023-03,26
Frontend Developer,Hà Nội,2023-04,33
Frontend Developer,Hà Nội,2023-05,30
Frontend Developer,Hà Nội,2023-06,27
Frontend Developer,Hà Nội,2023-07,16
Frontend Developer,Hà Nội,2023-08,21
Frontend Developer,Hà Nội,2023-09,16
Frontend Developer,Hà Nội,2023-10,25
Frontend Developer,Hà Nội,2023-11,20
Frontend Developer,Hà Nội,2023-12,27
Frontend Developer,Hà Nội,2024-01,27
Frontend Developer,Hà Nội,2024-02,21
Frontend Developer,Hà Nội,2024-03,17
Frontend Developer,Hà Nội,2024-04,24
Frontend Developer,Hà Nội,2024-05,28
